name,noc,team,sport,sex,age,event,rank,medal
Li Xinru,CHN,People's Republic of China,Archery,Female,19,Women's Individual Compound - Open,9,NA
Li Yingli,CHN,People's Republic of China,Athletics,Female,23,Women's Shot Put - F37,3,Bronze
Li Yingli,CHN,People's Republic of China,Athletics,Female,23,Women's Discus Throw - F38,2,Silver
Li Yujie,CHN,People's Republic of China,Taekwondo,Female,20,Women K44 -58kg,3,Bronze
Li Zhangyu,CHN,People's Republic of China,Cycling Road,Male,33,Men's C1 Time Trial,6,NA
Li Zhangyu,CHN,People's Republic of China,Cycling Track,Male,33,Men's C1 3000m Individual Pursuit,3,Bronze
Li Zhangyu,CHN,People's Republic of China,Cycling Track,Male,33,Men's C1-3 1000m Time Trial,1,Gold
Li Zhangyu,CHN,People's Republic of China,Cycling Track,Male,33,Mixed C1-5 750m Team Sprint,2,Silver
Liagkou Anthi,GRE,Greece,Athletics,Female,36,Women's Shot Put - F33,8,NA
Liakhu Iryna,UKR,Ukraine,Shooting,Female,33,P2 - Women's 10m Air Pistol SH1,5,NA
Liakhu Iryna,UKR,Ukraine,Shooting,Female,33,P3 - Mixed 25m Pistol SH1,8,NA
Lian Hao,CHN,People's Republic of China,Table Tennis,Male,26,Men's Team - Class 9-10,1,Gold
Lian Hao,CHN,People's Republic of China,Table Tennis,Male,26,Men's Singles - Class 10,5,NA
Liang Guihua,CHN,People's Republic of China,Cycling Road,Male,37,Men's C1-3 Road Race,25,NA
Liang Guihua,CHN,People's Republic of China,Cycling Road,Male,37,Men's C2 Time Trial,4,NA
Liang Guihua,CHN,People's Republic of China,Cycling Track,Male,37,Men's C2 3000m Individual Pursuit,3,Bronze
Liang Guihua,CHN,People's Republic of China,Cycling Track,Male,37,Men's C1-3 1000m Time Trial,10,NA
Liang Yanfen,CHN,People's Republic of China,Athletics,Female,20,Women's 100m - T12,3,Bronze
Liang Yanfen,CHN,People's Republic of China,Athletics,Female,20,Women's 200m - T12,NA,NA
Liang Zhongzhi,CHN,People's Republic of China,Football 5-a-side,Male,26,Men,4,NA
Liao Keli,CHN,People's Republic of China,Table Tennis,Male,31,Men's Team - Classes 6-7,1,Gold
Liao Keli,CHN,People's Republic of China,Table Tennis,Male,31,Men's Singles - Class 7,3,Bronze
Lignos Gerasimos,GRE,Greece,Swimming,Male,26,Men's 100m Backstroke - S13,NA,NA
Lignos Gerasimos,GRE,Greece,Swimming,Male,26,Men's 100m Breaststroke - SB13,NA,NA
Lignos Gerasimos,GRE,Greece,Swimming,Male,26,Men's 100m Butterfly - S13,NA,NA
Liksor Robin,EST,Estonia,Swimming,Male,22,Men's 100m Breaststroke - SB8,NA,NA
Lima De Souza Ruan Felipe,BRA,Brazil,Swimming,Male,29,Men's 100m Freestyle - S10,NA,NA
Lima De Souza Ruan Felipe,BRA,Brazil,Swimming,Male,29,Men's 100m Breaststroke - SB9,5,NA
Lima De Souza Ruan Felipe,BRA,Brazil,Swimming,Male,29,Men's 200m Individual Medley - SM10,NA,NA
Lima De Souza Ruan Felipe,BRA,Brazil,Swimming,Male,29,Men's 4x100m Medley Relay - 34 Points,7,NA
Lin Suiling,CHN,People's Republic of China,Wheelchair Basketball,Female,30,Women,2,Silver
Lin Tzu Yu,TPE,Chinese Taipei,Table Tennis,Female,21,Women's Team - Classes 9-10,5,NA
Lin Tzu Yu,TPE,Chinese Taipei,Table Tennis,Female,21,Women's Singles - Class 10,NA,NA
Lin Ximei,CHN,People's Republic of China,Boccia,Female,26,Individual - BC4,13,NA
Lin Ya-hsuan,TPE,Chinese Taipei,Powerlifting,Female,45,Women's -61 kg,7,NA
Lin Yueshan,CHN,People's Republic of China,Archery,Female,32,Women's Individual Compound - Open,6,NA
Lin Yueshan,CHN,People's Republic of China,Archery,Female,32,Mixed Team Compound - Open,1,Gold
Lindberg Pernilla,SWE,Sweden,Swimming,Female,27,Women's 200m Freestyle - S14,5,NA
Lindberg Pernilla,SWE,Sweden,Swimming,Female,27,Women's 100m Backstroke - S14,NA,NA
Lindberg Pernilla,SWE,Sweden,Swimming,Female,27,Women's 100m Breaststroke - SB14,8,NA
Lindberg Pernilla,SWE,Sweden,Swimming,Female,27,Women's 100m Butterfly - S14,NA,NA
Lindberg Pernilla,SWE,Sweden,Swimming,Female,27,Women's 200m Individual Medley - SM14,5,NA
Lindholm Maya,GER,Germany,Wheelchair Basketball,Female,30,Women,4,NA
Lins Nobre Cicero Valdiran,BRA,Brazil,Athletics,Male,29,Men's Javelin Throw - F57,3,Bronze
Liot Kevin,FRA,France,Shooting,Male,32,R4 - Mixed 10m Air Rifle Standing SH2,9,NA
Liot Kevin,FRA,France,Shooting,Male,32,R5 - Mixed 10m Air Rifle Prone SH2,11,NA
Lipatnikova Galina,RPC,RPC,Athletics,Female,37,Women's Shot Put - F36,1,Gold
Lis Rafal,POL,Poland,Table Tennis,Male,42,Men's Team - Class 4-5,5,NA
Lis Rafal,POL,Poland,Table Tennis,Male,42,Men's Singles - Class 4,NA,NA
Little Rosemary,AUS,Australia,Athletics,Female,39,Women's Shot Put - F32,5,NA
Littlehales Dylan,AUS,Australia,Canoe Sprint,Male,21,Men's Kayak Single 200m - KL3,4,NA
Liu Benying,CHN,People's Republic of China,Swimming,Male,25,Men's 50m Freestyle - S4,5,NA
Liu Benying,CHN,People's Republic of China,Swimming,Male,25,Men's 50m Backstroke - S4,5,NA
Liu Benying,CHN,People's Republic of China,Swimming,Male,25,Men's 150m Individual Medley - SM4,NA,NA
Liu Cuiqing,CHN,People's Republic of China,Athletics,Female,29,Women's 100m - T11,2,Silver
Liu Cuiqing,CHN,People's Republic of China,Athletics,Female,29,Women's 200m - T11,1,Gold
Liu Cuiqing,CHN,People's Republic of China,Athletics,Female,29,Women's 400m - T11,1,Gold
Liu Cuiqing,CHN,People's Republic of China,Athletics,Female,29,4x100m Universal Relay,NA,NA
Liu Daomin,CHN,People's Republic of China,Swimming,Female,22,Women's 100m Breaststroke - SB6,2,Silver
Liu Daomin,CHN,People's Republic of China,Swimming,Female,22,Women's 50m Butterfly - S6,7,NA
Liu Daomin,CHN,People's Republic of China,Swimming,Female,22,Women's 200m Individual Medley - SM6,8,NA
Liu Fengqi,CHN,People's Republic of China,Swimming,Male,22,Men's 100m Freestyle - S8,NA,NA
Liu Fengqi,CHN,People's Republic of China,Swimming,Male,22,Men's 100m Backstroke - S8,3,Bronze
Liu Fengqi,CHN,People's Republic of China,Swimming,Male,22,Men's 200m Individual Medley - SM8,5,NA
Liu Fengqi,CHN,People's Republic of China,Swimming,Male,22,Men's 4x100m Freestyle Relay - 34 Points,6,NA
Liu Fengqi,CHN,People's Republic of China,Swimming,Male,22,Men's 4x100m Medley Relay - 34 Points,6,NA
Liu Jing,CHN,People's Republic of China,Archery,Female,39,Women's Individual - W1,7,NA
Liu Jing,CHN,People's Republic of China,Table Tennis,Female,33,Women's Team - Classes 1-3,1,Gold
Liu Jing,CHN,People's Republic of China,Table Tennis,Female,33,Women's Singles - Classes 1-2,1,Gold
Liu Lei,CHN,People's Republic of China,Powerlifting,Male,33,Men's -65 kg,1,Gold
Liu Li,CHN,People's Republic of China,Athletics,Male,35,Men's Shot Put - F32,1,Gold
Liu Li,CHN,People's Republic of China,Athletics,Male,35,Men's Club Throw - F32,1,Gold
Liu Meng,CHN,People's Republic of China,Football 5-a-side,Male,26,Men,4,NA
Liu Shuang,CHN,People's Republic of China,Rowing,Female,27,PR2 Mixed Double Sculls - PR2Mix2x,3,Bronze
Liu Wing Tung,HKG,"Hong Kong, China",Boccia,Female,25,Pairs - BC3,4,NA
Liu Yang,CHN,People's Republic of China,Athletics,Male,31,Men's 100m - T54,NA,NA
Liu Yang,CHN,People's Republic of China,Athletics,Male,31,Men's 400m - T54,NA,NA
Liu Yu,CHN,People's Republic of China,Swimming,Female,32,Women's 50m Backstroke - S4,1,Gold
Liu Yu,CHN,People's Republic of China,Swimming,Female,32,Women's 150m Individual Medley - SM4,1,Gold
Liu Yutong,CHN,People's Republic of China,Badminton,Female,17,Women's Singles WH2,1,Gold
Liu Yutong,CHN,People's Republic of China,Badminton,Female,17,Women's Doubles WH,2,Silver
Liu Ya-ting,TPE,Chinese Taipei,Athletics,Female,30,Women's Javelin Throw - F13,6,NA
Liverani Andrea,ITA,Italy,Shooting,Male,31,R4 - Mixed 10m Air Rifle Standing SH2,3,Bronze
Liverani Andrea,ITA,Italy,Shooting,Male,31,R5 - Mixed 10m Air Rifle Prone SH2,8,NA
Liverani Andrea,ITA,Italy,Shooting,Male,31,R9 - Mixed 50m Rifle Prone SH2,4,NA
Llanes Tara,CAN,Canada,Wheelchair Basketball,Female,44,Women,5,NA
Llopis Sanz Inigo,ESP,Spain,Swimming,Male,22,Men's 100m Freestyle - S8,NA,NA
Llopis Sanz Inigo,ESP,Spain,Swimming,Male,22,Men's 400m Freestyle - S8,7,NA
Llopis Sanz Inigo,ESP,Spain,Swimming,Male,22,Men's 100m Backstroke - S8,2,Silver
Llopis Sanz Inigo,ESP,Spain,Swimming,Male,22,Men's 4x100m Freestyle Relay - 34 Points,7,NA
Llopis Sanz Inigo,ESP,Spain,Swimming,Male,22,Men's 4x100m Medley Relay - 34 Points,4,NA
Lloveras Alexandre,FRA,France,Cycling Road,Male,21,Men's B Road Race,3,Bronze
Lloveras Alexandre,FRA,France,Cycling Road,Male,21,Men's B Time Trial,1,Gold
Lloveras Alexandre,FRA,France,Cycling Track,Male,21,Men's B 4000m Individual Pursuit,4,NA
Long Jessica,USA,United States of America,Swimming,Female,29,Women's 400m Freestyle - S8,2,Silver
Long Jessica,USA,United States of America,Swimming,Female,29,Women's 100m Backstroke - S8,3,Bronze
Long Jessica,USA,United States of America,Swimming,Female,29,Women's 100m Breaststroke - SB7,2,Silver
Long Jessica,USA,United States of America,Swimming,Female,29,Women's 100m Butterfly - S8,1,Gold
Long Jessica,USA,United States of America,Swimming,Female,29,Women's 200m Individual Medley - SM8,1,Gold
Long Jessica,USA,United States of America,Swimming,Female,29,Women's 4x100m Freestyle Relay - 34 Pts,NA,NA
Long Jessica,USA,United States of America,Swimming,Female,29,Women's 4x100m Medley Relay - 34 Points,1,Gold
Longhorne Lyndon,GBR,Great Britain,Swimming,Male,25,Men's 50m Freestyle - S4,NA,NA
Longhorne Lyndon,GBR,Great Britain,Swimming,Male,25,Men's 100m Freestyle - S4,7,NA
Longhorne Lyndon,GBR,Great Britain,Swimming,Male,25,Men's 200m Freestyle - S4,NA,NA
Longhorne Lyndon,GBR,Great Britain,Swimming,Male,25,Men's 50m Backstroke - S4,NA,NA
Longhorne Lyndon,GBR,Great Britain,Swimming,Male,25,Men's 50m Breaststroke - SB3,NA,NA
Longhorne Lyndon,GBR,Great Britain,Swimming,Male,25,Men's 150m Individual Medley - SM4,NA,NA
Longhorne Lyndon,GBR,Great Britain,Swimming,Male,25,Mixed 4x50m Freestyle Relay - 20 Points,8,NA
Elliott Andre Alexander Loonstra,ARU,Aruba,Taekwondo,Male,31,Men K44 +75kg,9,NA
Lopez Alfonso Damian,CUB,Cuba,Cycling Road,Male,44,Men's C1-3 Road Race,NA,NA
Lopez Alfonso Damian,CUB,Cuba,Cycling Road,Male,44,Men's C1 Time Trial,10,NA
Lopez Alfonso Damian,CUB,Cuba,Cycling Track,Male,44,Men's C1-3 1000m Time Trial,22,NA
Lopez Chavez Isabel,ESP,Spain,Wheelchair Basketball,Female,29,Women,8,NA
Lopez Cuenca Ivan,ESP,Spain,Football 5-a-side,Male,28,Men,6,NA
Lopez Diaz Diego,MEX,Mexico,Swimming,Male,26,Men's 50m Freestyle - S3,1,Gold
Lopez Diaz Diego,MEX,Mexico,Swimming,Male,26,Men's 200m Freestyle - S3,2,Silver
Lopez Diaz Diego,MEX,Mexico,Swimming,Male,26,Men's 50m Backstroke - S3,3,Bronze
Lopez Diaz Diego,MEX,Mexico,Swimming,Male,26,Men's 150m Individual Medley - SM3,4,NA
Lopez Fernandez Patricio Tse Anibal,DOM,Dominican Republic,Swimming,Male,41,Men's 50m Breaststroke - SB2,8,NA
Lopez Gonzalez Kim,ESP,Spain,Athletics,Male,32,Men's Shot Put - F12,1,Gold
Lopez Rodrigo Fernando,ARG,Argentina,Cycling Road,Male,42,Men's C1-3 Road Race,NA,NA
Lopez Rodrigo Fernando,ARG,Argentina,Cycling Road,Male,42,Men's C1 Time Trial,9,NA
Lopez Rodrigo Fernando,ARG,Argentina,Cycling Track,Male,42,Men's C1 3000m Individual Pursuit,9,NA
Lopez Rodrigo Fernando,ARG,Argentina,Cycling Track,Male,42,Men's C1-3 1000m Time Trial,18,NA
Lopez Sayago Francisco,ESP,Spain,Table Tennis,Male,38,Men's Singles - Class 4,5,NA
Lopez Valdes Luz Kerena,MEX,Mexico,Swimming,Female,23,Women's 100m Butterfly - S8,5,NA
Loquette Meril,FRA,France,Badminton,Male,24,Men's Singles SU5,5,NA
Lorenzo Diaz Manuel,ESP,Spain,Wheelchair Basketball,Male,21,Men,4,NA
Lou Xiaolong,CHN,People's Republic of China,Shooting,Male,32,P1 - Men's 10m Air Pistol SH1,4,NA
Lou Xiaolong,CHN,People's Republic of China,Shooting,Male,32,P4 - Mixed 50m Pistol SH1,4,NA
Loukoula Loulendo Fifi,CGO,Congo,Athletics,Female,41,Women's Shot Put - F57,16,NA
Lourenco Da Silva Gilberto,BRA,Brazil,Sitting Volleyball,Male,42,Men,4,NA
Love Robyn,GBR,Great Britain,Wheelchair Basketball,Female,31,Women,7,NA
Low Vanessa,AUS,Australia,Athletics,Female,31,Women's Long Jump - T63,1,Gold
Lu Dong,CHN,People's Republic of China,Swimming,Female,29,Women's 100m Freestyle - S5,6,NA
Lu Dong,CHN,People's Republic of China,Swimming,Female,29,Women's 50m Backstroke - S5,1,Gold
Lu Dong,CHN,People's Republic of China,Swimming,Female,29,Women's 50m Butterfly - S5,1,Gold
Lu Dong,CHN,People's Republic of China,Swimming,Female,29,Women's 200m Individual Medley - SM5,1,Gold
Lu Dong,CHN,People's Republic of China,Swimming,Female,29,Mixed 4x50m Freestyle Relay - 20 Points,1,Gold
Lu Pi Chun,TPE,Chinese Taipei,Table Tennis,Female,58,Women's Singles - Class 4,5,NA
Lubbe Ann Cathrin,NOR,Norway,Equestrian,Female,50,Individual Test - Grade III,4,NA
Lubbe Ann Cathrin,NOR,Norway,Equestrian,Female,50,Individual Freestyle Test - Grade III,3,Bronze
Luchkin Iurii,RPC,RPC,Swimming,Male,24,Men's 100m Backstroke - S6,NA,NA
Luchkin Iurii,RPC,RPC,Swimming,Male,24,Men's 100m Breaststroke - SB5,4,NA
Luchkin Iurii,RPC,RPC,Swimming,Male,24,Men's 200m Individual Medley - SM6,NA,NA
Lucumi Villegas Luis Fernando,COL,Colombia,Athletics,Male,23,Men's Javelin Throw - F38,3,Bronze
Ludrovsky Martin,SVK,Slovakia,Table Tennis,Male,48,Men's Team - Classes 1-2,3,Bronze
Ludrovsky Martin,SVK,Slovakia,Table Tennis,Male,48,Men's Singles - Class 2,5,NA
Luiz Da Costa Christian Gabriel,BRA,Brazil,Athletics,Male,19,Men's 100m - T37,7,NA
Luiz Da Costa Christian Gabriel,BRA,Brazil,Athletics,Male,19,Men's 200m - T37,8,NA
Luiz Jaime Gomes Perilo Helcio,BRA,Brazil,Archery,Male,52,Men's Individual - W1,6,NA
Luiz Jaime Gomes Perilo Helcio,BRA,Brazil,Archery,Male,52,Mixed Team - W1,5,NA
Lukianenko Daria,RPC,RPC,Swimming,Female,19,Women's 400m Freestyle - S13,NA,NA
Lukianenko Daria,RPC,RPC,Swimming,Female,19,Women's 100m Breaststroke - SB12,2,Silver
Lukianenko Daria,RPC,RPC,Swimming,Female,19,Women's 200m Individual Medley - SM13,4,NA
Lundback Ingela,SWE,Sweden,Table Tennis,Female,46,Women's Team - Classes 4-5,2,Silver
Lundback Ingela,SWE,Sweden,Table Tennis,Female,46,Women's Singles - Class 5,5,NA
Luque Miguel,ESP,Spain,Swimming,Male,44,Men's 50m Backstroke - S4,NA,NA
Luque Miguel,ESP,Spain,Swimming,Male,44,Men's 50m Breaststroke - SB3,2,Silver
Luque Miguel,ESP,Spain,Swimming,Male,44,Men's 150m Individual Medley - SM4,4,NA
Luxova Anna,CZE,Czech Republic,Athletics,Female,24,Women's 100m - T35,NA,NA
Luxova Anna,CZE,Czech Republic,Athletics,Female,24,Women's Shot Put - F35,3,Bronze
Luyina Kiese Rosette,COD,Democratic Republic of the Congo,Athletics,Female,31,Women's Shot Put - F57,11,NA
Lvova Viktoriia,RPC,RPC,Wheelchair Tennis,Female,22,Women's Singles,9,NA
Lvova Viktoriia,RPC,RPC,Wheelchair Tennis,Female,22,Women's Doubles,5,NA
Lyle Maria,GBR,Great Britain,Athletics,Female,21,Women's 100m - T35,3,Bronze
Lyle Maria,GBR,Great Britain,Athletics,Female,21,Women's 200m - T35,3,Bronze
Lynch Gareth,NZL,New Zealand,Wheelchair Rugby,Male,24,Mixed,8,NA
Lypetska Yuliya,UKR,Ukraine,Taekwondo,Female,35,Women K44 +58kg,5,NA
Lysiak Krystyna,POL,Poland,Table Tennis,Female,42,Women's Singles - Class 11,NA,NA
Lytovchenko Maryna,UKR,Ukraine,Table Tennis,Female,30,Women's Singles - Class 6,1,Gold
Lytvynenko Oleksandr,UKR,Ukraine,Athletics,Male,31,Men's 100m - T36,NA,NA
Lytvynenko Oleksandr,UKR,Ukraine,Athletics,Male,31,Men's Long Jump - T36,7,NA
Lyu Guidi,CHN,People's Republic of China,Wheelchair Basketball,Female,28,Women,2,Silver
Lyu Hongqin,CHN,People's Republic of China,Sitting Volleyball,Female,40,Women,2,Silver
Shaharuddin Mohamad Yusof Hafizi,MAS,Malaysia,Cycling Track,Male,23,Men's C1 3000m Individual Pursuit,7,NA
Shaharuddin Mohamad Yusof Hafizi,MAS,Malaysia,Cycling Track,Male,23,Mixed C1-5 750m Team Sprint,5,NA
Ma Huihui,CHN,People's Republic of China,Badminton,Female,32,Women's Singles SL4,3,Bronze
Ma Huihui,CHN,People's Republic of China,Badminton,Female,32,Women's Doubles SL3-SU5,2,Silver
Ma Jia,CHN,People's Republic of China,Swimming,Female,23,Women's 50m Freestyle - S11,1,Gold
Ma Jia,CHN,People's Republic of China,Swimming,Female,23,Women's 100m Freestyle - S11,NA,NA
Ma Jia,CHN,People's Republic of China,Swimming,Female,23,Women's 100m Breaststroke - SB11,2,Silver
Ma Jia,CHN,People's Republic of China,Swimming,Female,23,Women's 200m Individual Medley - SM11,1,Gold
Ma Lin,AUS,Australia,Table Tennis,Male,31,Men's Team - Class 9-10,2,Silver
Ma Lin,AUS,Australia,Table Tennis,Male,31,Men's Singles - Class 9,2,Silver
Maack Mira Jeanne,GER,Germany,Swimming,Female,17,Women's 400m Freestyle - S8,5,NA
Maack Mira Jeanne,GER,Germany,Swimming,Female,17,Women's 100m Backstroke - S8,5,NA
Maack Mira Jeanne,GER,Germany,Swimming,Female,17,Women's 100m Breaststroke - SB7,NA,NA
Maack Mira Jeanne,GER,Germany,Swimming,Female,17,Women's 200m Individual Medley - SM8,6,NA
Mabote Puseletso Michael,RSA,South Africa,Athletics,Male,16,Men's 100m - T63,7,NA
Mabote Puseletso Michael,RSA,South Africa,Athletics,Male,16,Men's Long Jump - T63,9,NA
Macedo Jose,POR,Portugal,Boccia,Male,49,Individual - BC3,13,NA
Macedo Jose,POR,Portugal,Boccia,Male,49,Pairs - BC3,10,NA
Maclay Kaleo,USA,United States of America,Sitting Volleyball,Female,25,Women,1,Gold
Macqueen Nathan,GBR,Great Britain,Archery,Male,30,Men's Individual Compound - Open,17,NA
Macqueen Nathan,GBR,Great Britain,Archery,Male,30,Mixed Team Compound - Open,6,NA
Macsorley James,GBR,Great Britain,Wheelchair Basketball,Male,26,Men,3,Bronze
Madell Zak,CAN,Canada,Wheelchair Rugby,Male,27,Mixed,5,NA
Madruga De Souza Ana Paula,BRA,Brazil,Rowing,Female,36,PR3 Mixed Coxed Four - PR3Mix4+,10,NA
Madsen Cheri,USA,United States of America,Athletics,Female,44,Women's 100m - T54,3,Bronze
Madsen Cheri,USA,United States of America,Athletics,Female,44,Women's 400m - T54,2,Silver
Madzia Miroslaw,POL,Poland,Athletics,Male,41,Men's Shot Put - F11,8,NA
Madzia Miroslaw,POL,Poland,Athletics,Male,41,Men's Discus Throw - F11,9,NA
Maegawa Kaede,JPN,Japan,Athletics,Female,23,Women's 100m - T63,NA,NA
Maegawa Kaede,JPN,Japan,Athletics,Female,23,Women's Long Jump - T63,5,NA
Maguire Nathan,GBR,Great Britain,Athletics,Male,24,Men's 400m - T54,6,NA
Maguire Nathan,GBR,Great Britain,Athletics,Male,24,Men's 800m - T54,NA,NA
Maguire Nathan,GBR,Great Britain,Athletics,Male,24,4x100m Universal Relay,2,Silver
Mahamid Ruzin Elham,ISR,Israel,Goalball,Female,31,Women,6,NA
Mahlangu Ntando,RSA,South Africa,Athletics,Male,19,Men's 200m - T61,1,Gold
Mahlangu Ntando,RSA,South Africa,Athletics,Male,19,Men's Long Jump - T63,1,Gold
Mahmoud Amal,EGY,Egypt,Powerlifting,Female,42,Women's -73 kg,4,NA
Mahmoud Faiza Mahmoud,EGY,Egypt,Table Tennis,Female,45,Women's Singles - Class 5,NA,NA
Mahmoud Randa,EGY,Egypt,Powerlifting,Female,34,Women's +86 kg,5,NA
Mahomedov Rufat,UKR,Ukraine,Judo,Male,29,Men -73 kg,3,Bronze
Mahon Meghan,CAN,Canada,Goalball,Female,25,Women,9,NA
Mai Ivan,UKR,Ukraine,Table Tennis,Male,25,Men's Team - Class 9-10,3,Bronze
Mai Ivan,UKR,Ukraine,Table Tennis,Male,25,Men's Singles - Class 9,3,Bronze
Mai Jianpeng,CHN,People's Republic of China,Badminton,Male,32,Men's Singles WH2,5,NA
Mai Jianpeng,CHN,People's Republic of China,Badminton,Male,32,Men's Doubles WH,1,Gold
Maidana Cancinos Lautaro Daniel,ARG,Argentina,Swimming,Male,17,Men's 100m Backstroke - S14,NA,NA
Maidana Cancinos Lautaro Daniel,ARG,Argentina,Swimming,Male,17,Men's 100m Butterfly - S14,NA,NA
Maillet Nathan,FRA,France,Swimming,Male,22,Men's 200m Freestyle - S14,NA,NA
Maillet Nathan,FRA,France,Swimming,Male,22,Men's 100m Backstroke - S14,NA,NA
Mainville Pierre,CAN,Canada,Wheelchair Fencing,Male,48,Men's Épée Individual - Category B,13,NA
Mainville Pierre,CAN,Canada,Wheelchair Fencing,Male,48,Men's Sabre Individual - Category B,9,NA
Majaga Gloria,BOT,Botswana,Athletics,Female,20,Women's 400m - T13,NA,NA
Majka Jolanta,POL,Poland,Rowing,Female,43,PR2 Mixed Double Sculls - PR2Mix2x,6,NA
Major Endre,HUN,Hungary,Table Tennis,Male,52,Men's Singles - Class 1,5,NA
Majunke Jana,GER,Germany,Cycling Road,Female,31,Women's T1-2 Road Race,1,Gold
Majunke Jana,GER,Germany,Cycling Road,Female,31,Women's T1-2 Time Trial,1,Gold
Makarov Roman,RPC,RPC,Swimming,Male,37,Men's 100m Freestyle - S12,6,NA
Makarov Roman,RPC,RPC,Swimming,Male,37,Men's 100m Backstroke - S12,5,NA
Makarov Roman,RPC,RPC,Swimming,Male,37,Men's 100m Butterfly - S12,3,Bronze
Makita Sayaka,JPN,Japan,Athletics,Female,36,Women's 1500m - T20,6,NA
Makowski Wojciech,POL,Poland,Swimming,Male,29,Men's 50m Freestyle - S11,7,NA
Makowski Wojciech,POL,Poland,Swimming,Male,29,Men's 100m Backstroke - S11,6,NA
Makrodimitris Aristeidis,GRE,Greece,Swimming,Male,30,Men's 200m Freestyle - S2,7,NA
Makrodimitris Aristeidis,GRE,Greece,Swimming,Male,30,Men's 50m Backstroke - S2,7,NA
Makrodimitris Aristeidis,GRE,Greece,Swimming,Male,30,Men's 100m Backstroke - S2,5,NA
Makrytskaya Alesia,BLR,Belarus,Wheelchair Fencing,Female,35,Women's Foil Individual - Category B,6,NA
Makrytskaya Alesia,BLR,Belarus,Wheelchair Fencing,Female,35,Women's Épée Individual - Category B,5,NA
Makunda Gauthier,FRA,France,Athletics,Male,37,Men's 400m - T11,3,Bronze
Malakopoulos Stylianos,GRE,Greece,Athletics,Male,24,Men's 400m - T62,8,NA
Malakopoulos Stylianos,GRE,Greece,Athletics,Male,24,Men's Long Jump - T64,4,NA
Malasai Yuliia,UKR,Ukraine,Rowing,Female,26,PR3 Mixed Coxed Four - PR3Mix4+,9,NA
Maldonado Alana,BRA,Brazil,Judo,Female,26,Women -70 kg,1,Gold
Malenovsky Radoslav,SVK,Slovakia,Shooting,Male,34,R1 - Men's 10m Air Rifle Standing SH1,5,NA
Malenovsky Radoslav,SVK,Slovakia,Shooting,Male,34,R3 - Mixed 10m Air Rifle Prone SH1,29,NA
Malenovsky Radoslav,SVK,Slovakia,Shooting,Male,34,R6 - Mixed 50m Rifle Prone SH1,35,NA
Malenovsky Radoslav,SVK,Slovakia,Shooting,Male,34,R7 - Men's 50m Rifle 3 Positions SH1,7,NA
Maliszewska Klaudia,POL,Poland,Athletics,Female,29,Women's Shot Put - F35,5,NA
Malka Noa,ISR,Israel,Goalball,Female,18,Women,6,NA
Malmstrom Lena,SWE,Sweden,Equestrian,Female,52,Individual Test - Grade V,6,NA
Malmstrom Lena,SWE,Sweden,Equestrian,Female,52,Individual Freestyle Test - Grade V,7,NA
Malone Noah,USA,United States of America,Athletics,Male,19,Men's 100m - T12,2,Silver
Malone Noah,USA,United States of America,Athletics,Male,19,Men's 400m - T12,2,Silver
Malone Noah,USA,United States of America,Athletics,Male,19,4x100m Universal Relay,1,Gold
Malyar Ariel,ISR,Israel,Swimming,Male,21,Men's 50m Freestyle - S4,7,NA
Malyar Ariel,ISR,Israel,Swimming,Male,21,Men's 100m Freestyle - S4,NA,NA
Malyar Ariel,ISR,Israel,Swimming,Male,21,Men's 200m Freestyle - S4,NA,NA
Malyar Ariel,ISR,Israel,Swimming,Male,21,Men's 50m Backstroke - S4,NA,NA
Malyar Mark,ISR,Israel,Swimming,Male,21,Men's 50m Freestyle - S7,6,NA
Malyar Mark,ISR,Israel,Swimming,Male,21,Men's 400m Freestyle - S7,1,Gold
Malyar Mark,ISR,Israel,Swimming,Male,21,Men's 100m Backstroke - S7,3,Bronze
Malyar Mark,ISR,Israel,Swimming,Male,21,Men's 50m Butterfly - S7,NA,NA
Malyar Mark,ISR,Israel,Swimming,Male,21,Men's 200m Individual Medley - SM7,1,Gold
Malyshev Sergey,RPC,RPC,Shooting,Male,45,P1 - Men's 10m Air Pistol SH1,8,NA
Malyshev Sergey,RPC,RPC,Shooting,Male,45,P3 - Mixed 25m Pistol SH1,4,NA
Malyshev Sergey,RPC,RPC,Shooting,Male,45,P4 - Mixed 50m Pistol SH1,3,Bronze
Malzbender Eltje,NZL,New Zealand,Cycling Road,Female,59,Women's T1-2 Road Race,NA,NA
Malzbender Eltje,NZL,New Zealand,Cycling Road,Female,59,Women's T1-2 Time Trial,5,NA
Mamczarz Lukasz,POL,Poland,Athletics,Male,33,Men's High Jump - T63,4,NA
Mammadov Parvin,AZE,Azerbaijan,Powerlifting,Male,26,Men's -49 kg,3,Bronze
Mammadova Aynur,AZE,Azerbaijan,Taekwondo,Female,42,Women K44 +58kg,NA,NA
Mancarella Federico,ITA,Italy,Canoe Sprint,Male,29,Men's Kayak Single 200m - KL2,3,Bronze
Mandryk Nataliia,UKR,Ukraine,Wheelchair Fencing,Female,33,Women's Foil Individual - Category A,10,NA
Mandryk Nataliia,UKR,Ukraine,Wheelchair Fencing,Female,33,Women's Épée Individual - Category A,11,NA
Mandryk Nataliia,UKR,Ukraine,Wheelchair Fencing,Female,33,Women's Foil Team,6,NA
Mandryk Nataliia,UKR,Ukraine,Wheelchair Fencing,Female,33,Women's Épée Team,2,Silver
